id,product_code,product_name,category_id,brand,cost_price,msrp,quantity_in_stock,is_active,created_at,updated_at
1,IPHONE-15-PRO-MAX,iPhone 15 Pro Max 256GB,2,Apple,23793000.0,34990000,180,1,2022-12-01 08:00:00,2022-12-01 08:00:00
2,IPHONE-15-PRO,iPhone 15 Pro 128GB,2,Apple,19033000.0,27990000,220,1,2022-12-01 08:00:00,2022-12-01 08:00:00
3,IPHONE-15,iPhone 15 128GB,2,Apple,15743000.0,22490000,300,1,2022-12-01 08:00:00,2022-12-01 08:00:00
4,IPHONE-14,iPhone 14 128GB,2,Apple,13293000.0,18990000,250,1,2022-12-01 08:00:00,2022-12-01 08:00:00
5,IPHONE-13,iPhone 13 128GB,2,Apple,9735000.0,14490000.0,320,1,2022-12-01 08:00:00,2024-11-07 08:00:00
6,SAM-S24-ULTRA,Samsung Galaxy S24 Ultra,1,Samsung,22073000.0,31990000,150,1,2022-12-01 08:00:00,2022-12-01 08:00:00
7,SAM-S24,Samsung Galaxy S24,1,Samsung,16093000.0,22990000,200,1,2022-12-01 08:00:00,2022-12-01 08:00:00
8,SAM-A55,Samsung Galaxy A55,1,Samsung,7553000.0,10490000,400,1,2022-12-01 08:00:00,2022-12-01 08:00:00
9,SAM-A35,Samsung Galaxy A35,1,Samsung,6198000.0,8065000.0,450,1,2022-12-01 08:00:00,2024-06-17 08:00:00
10,XIA-14-PRO,Xiaomi 14 Pro,1,Xiaomi,13725000.0,19990000.0,180,1,2022-12-01 08:00:00,2023-07-18 08:00:00
11,XIA-REDMI-NOTE13,Xiaomi Redmi Note 13,1,Xiaomi,5103000.0,6990000,500,1,2022-12-01 08:00:00,2022-12-01 08:00:00
12,MACBOOK-PRO-M3,"MacBook Pro 14"" M3",4,Apple,35503000.0,52990000,80,1,2022-12-01 08:00:00,2022-12-01 08:00:00
13,MACBOOK-AIR-M2,"MacBook Air 13"" M2",4,Apple,22433000.0,32990000,120,1,2022-12-01 08:00:00,2022-12-01 08:00:00
14,DELL-XPS-15,Dell XPS 15 9530,3,Dell,29233000.0,44905000.0,70,1,2022-12-01 08:00:00,2024-07-23 08:00:00
15,DELL-INS-15,Dell Inspiron 15 3520,3,Dell,12338000.0,16990000.0,200,1,2022-12-01 08:00:00,2024-05-28 08:00:00
16,HP-ENVY-X360,HP Envy x360 15,3,HP,18023000.0,28388000.0,150,1,2022-12-01 08:00:00,2024-04-05 08:00:00
17,HP-PAVIL-15,HP Pavilion 15,3,HP,10073000.0,13990000,250,1,2022-12-01 08:00:00,2022-12-01 08:00:00
18,ASUS-ZENBOOK14,Asus ZenBook 14 OLED,3,Asus,16793000.0,23990000,170,1,2022-12-01 08:00:00,2022-12-01 08:00:00
19,ASUS-VIVOBOOK15,Asus VivoBook 15,3,Asus,8449000.0,11019000.0,300,1,2022-12-01 08:00:00,2024-10-11 08:00:00
20,LENOVO-THINKPAD,Lenovo ThinkPad E14,3,Lenovo,13993000.0,19990000,160,1,2022-12-01 08:00:00,2022-12-01 08:00:00
21,IPAD-PRO-M4,"iPad Pro 11"" M4 256GB",6,Apple,19713000.0,28990000,100,1,2022-12-01 08:00:00,2022-12-01 08:00:00
22,IPAD-AIR-M2,"iPad Air 11"" M2",6,Apple,13293000.0,18990000,130,1,2022-12-01 08:00:00,2022-12-01 08:00:00
23,IPAD-10GEN,iPad 10th Gen 64GB,6,Apple,8513000.0,11990000,200,1,2022-12-01 08:00:00,2022-12-01 08:00:00
24,SAM-TAB-S9,Samsung Galaxy Tab S9,5,Samsung,16093000.0,24602000.0,120,1,2022-12-01 08:00:00,2024-07-14 08:00:00
25,SAM-TAB-A9,Samsung Galaxy Tab A9,5,Samsung,6207000.0,7142000.0,250,1,2022-12-01 08:00:00,2024-05-27 08:00:00
26,CASE-IPHONE15,Ốp lưng iPhone 15 chính hãng,7,Apple,294000.0,490000,2000,1,2022-12-01 08:00:00,2022-12-01 08:00:00
27,SCREEN-PROT-UNI,Kính cường lực 9H Universal,7,Logitech,82000.0,135000.0,3000,1,2022-12-01 08:00:00,2023-10-05 08:00:00
28,CASE-SAM-S24,Ốp lưng Samsung S24 Series,7,Samsung,226000.0,390000,1800,1,2022-12-01 08:00:00,2022-12-01 08:00:00
29,CHARGER-APPLE-35W,Apple 35W Dual USB-C Adapter,8,Apple,800000.0,1290000,1500,1,2022-12-01 08:00:00,2022-12-01 08:00:00
30,CABLE-USB-C-1M,Cáp USB-C 1m 60W PD,8,Samsung,105000.0,190000,4000,1,2022-12-01 08:00:00,2022-12-01 08:00:00
31,CHARGER-SAM-25W,Samsung 25W Super Fast Charge,8,Samsung,354000.0,590000,2000,1,2022-12-01 08:00:00,2022-12-01 08:00:00
32,CABLE-LIGHTNING,Cáp Lightning 1m Apple,8,Apple,304000.0,490000,2500,1,2022-12-01 08:00:00,2022-12-01 08:00:00
33,AIRPODS-PRO2,AirPods Pro 2nd Gen,9,Apple,4753000.0,6990000,400,1,2022-12-01 08:00:00,2022-12-01 08:00:00
34,SONY-WH1000XM5,Sony WH-1000XM5,9,Sony,6203000.0,8990000,200,1,2022-12-01 08:00:00,2022-12-01 08:00:00
35,SAM-BUDS2-PRO,Samsung Galaxy Buds2 Pro,9,Samsung,2373000.0,3490000,350,1,2022-12-01 08:00:00,2022-12-01 08:00:00
36,XIA-BUDS4-PRO,Xiaomi Buds 4 Pro,9,Xiaomi,1393000.0,1990000,600,1,2022-12-01 08:00:00,2022-12-01 08:00:00
37,LOG-MX-MASTER3S,Logitech MX Master 3S,10,Logitech,1693000.0,2689000.0,500,1,2022-12-01 08:00:00,2024-06-21 08:00:00
38,LOG-MX-KEYS-MINI,Logitech MX Keys Mini,10,Logitech,1489000.0,2190000,450,1,2022-12-01 08:00:00,2022-12-01 08:00:00
39,LOG-G304,Logitech G304 Wireless,10,Logitech,615000.0,890000.0,800,1,2022-12-01 08:00:00,2023-07-08 08:00:00
40,LOG-PEBBLE-KEYS2,Logitech Pebble Keys 2,10,Logitech,514000.0,790000,700,1,2022-12-01 08:00:00,2022-12-01 08:00:00
41,ASUS-RT-AX88U,Asus RT-AX88U Pro,11,Asus,3393000.0,4990000,300,1,2022-12-01 08:00:00,2022-12-01 08:00:00
42,TP-LINK-AX3000,TP-Link Archer AX3000,11,TP-Link,1034000.0,1590000,500,1,2022-12-01 08:00:00,2022-12-01 08:00:00
43,TP-LINK-SG108E,TP-Link TL-SG108E,12,TP-Link,570000.0,890000,400,1,2022-12-01 08:00:00,2022-12-01 08:00:00
44,SAMSUNG-T7-1TB,Samsung T7 SSD 1TB,13,Samsung,1668000.0,2490000,600,1,2022-12-01 08:00:00,2022-12-01 08:00:00
45,WD-PASSPORT-2TB,WD My Passport 2TB,13,WD,1446000.0,1921000.0,500,1,2022-12-01 08:00:00,2024-03-16 08:00:00
46,SAM-USB-64GB,Samsung USB 3.1 64GB,14,Samsung,163000.0,290000.0,2000,1,2022-12-01 08:00:00,2024-08-19 08:00:00
47,XIA-USB-128GB,Xiaomi USB 3.2 128GB,14,Xiaomi,222000.0,390000,1800,1,2022-12-01 08:00:00,2022-12-01 08:00:00
